"id","inqno","consultant","project","approval","customer","validity","rate","price","terms","delivery","drumlength","ld","cpbg","warranty","cutlength","destination","inspby","cabletype","conductor","insulation","sheilding","innersheath","armour","outersheath","sp1","sp2","sp3","sp4","sp5","sp6","oem","sector","approvalissue","currentproject","upcomingproject","csupplier","req","delperiod","spclreq","others","user","datetime"
"66","4285",,"Grasim - Lalpur -Jamnagar","Firm","Kintech Synergy Pvt. Ltd.- Ahemdabad","7","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","250","No",,"12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-11-24"
"68","4198",,"JSW Project","Firm","Arvind Envisol Ltd - Ahemdabad","4","Yes",,"10% advance and balance through 30 days PDC after inspection before dispatch.","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No",,"12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-11-24"
"71","4356",,"GETCO Project","Firm","GETCO Project","7","Yes",,"50% Advance payment & Balance payment before dispatch  ","8 -  10 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","500","No","NA","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","Client",,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-25"
"72","4351",,"MSEDCL ","Firm","MSEDCL ","7","Yes",,"50% Advance payment & Balance payment before dispatch  ","8 -  10 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","NA","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","250","Exworks","Client",,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-25"
"75","4375",,"HPCL - Solapur, Miraj, Hubli","Firm"," M P Engineering Constructions (India) Pvt. Ltd. - Mumbai","7","Yes",,"100% payment within 120 days through LC with  inspection call","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No",,"12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-11-26"
"76","4366",,"Private  ","Firm","Noble Electrade Pvt Ltd","7","Yes",,"50% Advance payment & Balance payment before dispatch  ","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","500","No",,"12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","500","Exworks","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-26"
"78","4368","PDIL "," Elevated Flare Stack System at CTF and GGS-2 ","Budgetary","ONGC Ankleshawar ","7","Yes",,"10% advance and balance through 30 days PDC after inspection before dispatch.","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","500","No","NA  ","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","500","Exworks","Consultant",,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-11-26"
"79","4190",,"Oil India Limited Duliajan Igniter Cable ","Firm",,"6","Yes",,"100% payment within 30 days (Under MSME)","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3053","2021-11-26"
"80","4193","RDSO","Western Railway ","Firm","Miral Infrastructure . - Ahemdabad","7","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","500","No",,"12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","500","Up to site","Consultant",,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-11-26"
"81","4371",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3053","2021-11-26"
"84","4370",,"Plant Requirement for Heaters","Firm","Beeco Electronics","7","Yes",,"100% against performa invoice before dispatch","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","250","No","N.A","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks",,,,,,,,,,,,,,,"OEM","Other",,"As Above",,,,,,,"3068","2021-11-26"
"87","4365",,"  Plant Requirement for Heaters","Firm"," Elmec Heaters","7","Yes",,"100% against performa invoice before dispatch","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ",,"N.A","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks",,,,,,,,,,,,,,,"OEM","Other",,"As Above",,,,,,,"3068","2021-11-26"
"89","4307",,"Plant Requirement for Heaters","Firm","Monitronics","7","Yes",,"100% against performa invoice before dispatch","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ",,"N.A","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks",,,,,,,,,,,,,,,"OEM","Other",,"As Above",,,,,,,"3068","2021-11-26"
"91","4306",,"Plant Requirement for Heaters","Firm","Hotmac Engineers","7","Yes",,"100% against performa invoice before dispatch","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","250",,"N.A","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks",,,,,,,,,,,,,,,"OEM","Other",,,,,,,,,"3068","2021-11-26"
"94","4305",,"Plant Requirement for Heaters","Firm","Aalidhra Textool Pvt Ltd","7","Yes",,"100% against performa invoice before dispatch","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","250",,"N.A","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks",,,,,,,,,,,,,,,"OEM","Other",,"As above",,,,,,,"3068","2021-11-26"
"96","4377",,"SUPPLY, INSTALLATION & COMMISSIONING OF ICCP SYSTEM AT IOCL & HPCL, MADURAI SITE  End User: IOCL & H","Firm","HPCL","5","Yes",,"10% advance and balance through 30 days PDC after inspection before dispatch.","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No",,"12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,"Contractor","Oil & gas","N.A","As above","We have received new enquiry for HPCL Project",,"Regular","N.A","N.A","N.A","3048","2021-11-29"
"97","4389",,"NBPDCL of 33/11 KV sub-station at Kerma and Wajidpur (Muzaffarpur) & Roopnarayanpur (Vaishali) in Bi","Firm","Unique Control & Instrumentation Pvt. Ltd. Ghaziabad","7","Yes",,"20% Advance and balance against performa invoice after inspection before dispatch.","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","Client",,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-11-29"
"99","4387",,"Naroda  ","Firm"," Arvind Envisol Ltd. - Ahemdabad","7","Yes",,"10% advance and balance through 30 days PDC after inspection before dispatch.","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-11-29"
"100","4388",,"CP system work in HPCL ","Firm","HPCl","5","Yes",,"10% advance and balance through 30 days PDC after inspection before dispatch.","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","NA","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,"CONTRACTOR","Oil & Gas","Approved ","As above ","N.A",,"Regular ","N.A","N.A","N.A","3048","2021-11-29"
"101","4379",,"Supply of cables ","Firm","IOCL ","4","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","N.A",,"As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,"CONTRACTOR","Oil & Gas ",,"As above ","N.A",,"Regular","N.A","N.A","N.A","3048","2021-11-29"
"102","4395","Triune","IOCL - Gorakhpur","Firm","Sopan O & M Pvt Ltd. -Ahmedabad","7","Yes",,"10% advance and balance through 30 days PDC after inspection before dispatch.","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-11-30"
"105","4291",,,"Firm"," Hylite Cables Pvt. Ltd","7","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","500","No",,"12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","250","Exworks","Client",,,,,,,,,,,,,,"Cable Manufacturer",,,,,,,,,"HT Cable. BIS marking required","3001","2021-11-30"
"106","1219",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3001","2021-11-30"
"107","4400",,"HRRL ","Budgetary","HPCL ","7","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","8 -  10 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","N.A","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,"Contractor","Oil & Gas","N.A","As above ","They will send as per their requirement","N.A","First Enquiry","N.A","N.A","N.A","3048","2021-12-01"
"109","4409",,"GGL - Gujarat Gas Limited.","Firm","Sopan O & M Pvt Ltd- Ahmedabad","7","Yes",,"100% payment with in 45 days PDC before dispatch.","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-12-01"
"110","4418",,"Transmission Job West Bengal","Firm","West Bengal","7","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","8 -  10 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","5%","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","Client",,,,,,,,,,,,,,"CONTRACTOR",,,,,,,,,,"3048","2021-12-02"
"111","4414","CEIL","ICCP For Bottom Plates of ETP Tanks","Firm","ONGC","4","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","N.A","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,"CONTRACTOR","Oil & Gas","N.A","As Above","N.A","N.A","Known Client","Immediately","N.A","N.A","3048","2021-12-02"
"112","4412",,"ONGC, HAZIRA PLANT","Firm","ONGC","4","Yes",,"20% Advance and balance against performa invoice after inspection before dispatch.","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","N.A","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,"CONTRACTOR","Oil& gas",,"As Above","They are sending regular enquiries as per their requirement ","N.A","Regular","N.A","N.A","N.A","3048","2021-12-02"
"113","4411",,"1x800 MW Kothagudem TPS","Firm","Telangana State Power Generation Corporation Ltd.","5","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","8 -  10 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","N.A","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","Client",,,,,,,,,,,,,,"CONTRACTOR","Power / transmission","Approved ","As above ","N.A","N.A","First Enquiry","N.A","N.A","N.A","3048","2021-12-02"
"115","4427","Shiva Engineering ","DIC limited - Bharuch","Firm","Pratibha Elecinfra Pvt Ltd. - Vadodara","7","Yes",,"10% Advance and balance payment through 60 days LC","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","TPIA",,,,,,,,,,,,,,"Contractor","Power Transmission",,"As above","ADANI - Mundra","AVOCAB,POLYCAB","Routine requirement","ASAP",,,"3044","2021-12-03"
"117","4413",,"Cairn -Badmer","Firm","Sopan O & M Pvt Ltd - Ahmedabad","7","Yes",,"100% payment with in 45 days PDC before dispatch.","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-12-03"
"118","4420",,,"Firm","Dhaval Patel","7","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","8 -  10 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No",,"12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks",,,,,,,,,,,,,,,,,,,,,,,,"Trader Requirement","3001","2021-12-04"
"119","4431",,"Solar plant","Budgetary","ABB","7","Yes",,"10% Advance and balance payment through 60 days LC","8 -  10 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","N.A","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3048","2021-12-04"
"120","4439",,"ADANI - Mundra","Budgetary","Pratibha Elecinfra Pvt Ltd . - Vadodara","7","Yes",,"10% Advance and balance payment through 60 days LC","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-12-04"
"121","4428",,"66 KV Substation Green ply Manjusar Dist. Vadodara.","Firm",,"5","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","N.A","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","Client",,,,,,,,,,,,,,,,,,,,,,,,"3048","2021-12-04"
"122","4416",,"RE Project in Rajgarh MP Project","Budgetary",,"5","Yes",,"20% Advance and balance payment through 60 days LC","8 -  10 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No",,"12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","Consultant",,,,,,,,,,,,,,,,,,,,,,,,"3053","2021-12-04"
"123","4451",,"Patna Metro Rail ","Firm","Tuaman Engineering Pvt. Ltd -Kolkata","7","Yes",,"10% Advance and balance payment through 60 days LC","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","24 Months from the date of Commissioning & 36 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-12-06"
"124","4443",,"Bhadla power substation","Budgetary"," Sterling and Wilson Pvt Ltd. ","7","Yes",,"100% payment within 120 days through LC with  inspection call","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3044","2021-12-06"
"126","4442",,"1x 525 MW TTPP","Firm","TUTICORIN THERMAL POWER STATION, SEPL Power Project ","7",,,"50% Advance payment & Balance payment before dispatch  ","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","500","No","na ",,"500","Exworks","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-12-06"
"127","4437",,,"Firm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-12-06"
"129","4410",,"Export enquiry ","Firm","Export enquiry ","7",,,"20% Advance and balance against performa invoice after inspection before dispatch.","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","1000","No",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-12-06"
"130","4404",,"Alkanamine  ","Firm","Alkyl Amines Chemicals Limited","7","Yes",,"20% Advance and balance payment through 60 days LC","8 -  10 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","1000","No","NA ",,,"Exworks","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3033","2021-12-06"
"132","4446",,"ONGC","Firm",,"7","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Exworks","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3053","2021-12-07"
"135","4450",,"NTPC, Vindhyachal.                            (NTPC Inspection)","Firm",,"5","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","6 -  8 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","Client",,,,,,,,,,,,,,,,,,,,,,,,"3053","2021-12-07"
"136","4445",,"IOCL Dumad","Firm",,"4","Yes",,"10% Advance and balance against performa invoice after inspection before dispatch.","4 -  6 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","No","-","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","TPIA",,,,,,,,,,,,,,,,,,,,,,,,"3053","2021-12-07"
"140","4183","-","DC & LV Cables: Agra Metro (AGE-1&2) Traction Project","Budgetary","UPMRC Tender","7","Yes",,"100% payment within 45 days (Under MSME)","8 -  10 weeks from the date of receipt of approved GTP/QAP/Manufacturing Clearance ","As Per BOQ","Yes","5%","12 Months from the date of Commissioning & 18 Months from the date of dispatch; whichever is earlier.","As Per BOQ","Up to site","Client",,,,,,,,,,,,,,,,,,,,,,,"We have discussed for Approval and we shall have to submit our Performance certificate in RDSO in which the cables are in working condition from last 5 years. This request shall be put by L &T  on beh","3053","2021-12-07"
