"id","inqno","fdate","remark","ndate","datetime","user_id"
"97","173","2020-05-26","as discuss rawal customer not Required offer only required GTP technical Clearance only after that they have issue to enquiry","0000-00-00","2020-05-26 00:00:00.000000","3050"
"98","176","2020-06-22","They did not get the tender and enquired about GETCO. New enquiry shall be received.","2020-07-22","2020-06-22 00:00:00.000000","3053"
"99","177","2020-08-06","Firm Requirements. It is under technical evaluation.","2020-08-21","2020-08-06 00:00:00.000000","3011"
"100","178","2020-06-05","We did not quoted whole BOQ, 132/- Rs given by Delton. Our rates were 147/- rs.","2020-06-15","2020-06-05 00:00:00.000000","3044"
"101","179","2020-06-11","They provide Onshore servives and subcontactor of das offshore,, will take time for tender closing","2020-07-11","2020-06-11 00:00:00.000000","3048"
"102","180","2020-06-05","This has already club with Sr. No. 277.","0000-00-00","2020-06-05 00:00:00.000000","3044"
"103","182","2020-05-22","Tender Cancelled","0000-00-00","2020-05-22 00:00:00.000000","3039"
"104","183","2020-05-22","Technical SE-4","0000-00-00","2020-05-22 00:00:00.000000","3039"
"105","184","2020-06-30","offer ahs been submitted, budgetory enquiry.","2020-08-14","2020-06-30 00:00:00.000000","3053"
"106","185","2020-06-22","They made a mistake in tender and lost it. However, will revert in new enquiries. Our prices were good.","2020-07-22","2020-06-22 00:00:00.000000","3053"
"107","186","2020-06-27","Commercial offer submitted ,revisede offer submitted as per their target value .finalization process will take 15-20 days","2020-08-06","2020-06-27 00:00:00.000000","3048"
"108","187","2020-06-12","Tender has been submitted by them. ","2020-07-27","2020-06-12 00:00:00.000000","3053"
"109","188","2020-07-18","They will intimate us at the time of site requirement.","2020-08-17","2020-07-18 00:00:00.000000","3044"
"110","189","2020-06-11","all reday quot sr no 252","0000-00-00","2020-06-11 00:00:00.000000","3039"
"111","190","2020-06-03","Under negotiation. ","2020-06-10","2020-06-03 00:00:00.000000","3033"
"112","191","2020-05-26","all ready qote sr no 157","0000-00-00","2020-05-26 00:00:00.000000","3003"
"113","192","2020-06-12","Will discuss in NEXT WEEK. ","2020-06-19","2020-06-12 00:00:00.000000","3033"
"114","194","2020-05-26","Budgetory offer","2020-08-24","2020-05-26 00:00:00.000000","3053"
"115","195","2020-08-06","On Line Tender.System.","2020-08-21","2020-08-06 00:00:00.000000","3039"
"116","198","2020-06-03","This will take 60 days for opening. ","2020-08-02","2020-06-03 00:00:00.000000","3033"
"117","199","2020-06-05","already quoted to against Sr No 17.","0000-00-00","2020-06-05 00:00:00.000000","3044"
"118","200","2020-06-11","Under folllow up , negotitation, our price is to high","2020-07-11","2020-06-11 00:00:00.000000","3048"
"119","201","2020-06-03","allredy quoted to against Sr No 218","0000-00-00","2020-06-03 00:00:00.000000","3039"
"120","202","2020-06-04","HT Cable","0000-00-00","2020-06-04 00:00:00.000000","3048"
"121","203","2020-06-23","firm requirment take some time under technicalevulation stage","2020-07-23","2020-06-23 00:00:00.000000","3007"
"122","204","2020-06-02","all ready qote sr no 213","0000-00-00","2020-06-02 00:00:00.000000","3048"
"123","206","2020-06-03","all ready qote sr no 241","0000-00-00","2020-06-03 00:00:00.000000","3039"
"124","207","2020-06-08","small qty","0000-00-00","2020-06-08 00:00:00.000000","3011"
"125","209","2020-06-16","Budgetory offer","2020-09-24","2020-06-16 00:00:00.000000","3007"
"126","213","2020-06-11","They privode automation services in oil gas sector","2020-07-11","2020-06-11 00:00:00.000000","3048"
"127","215","2020-06-22","Offer has been submitted and they are under follow up.","2020-07-02","2020-06-22 00:00:00.000000","3053"
"128","216","2020-06-03","They are quoting to IOCL Project. 
Will make a follow up. ","2020-07-18","2020-06-03 00:00:00.000000","3033"
"129","220","2020-06-13","They will check rates & inform us. ","2020-06-28","2020-06-13 00:00:00.000000","3053"
"130","224","2020-08-06","PO Received.","0000-00-00","2020-08-06 00:00:00.000000","3011"
"131","225","2020-06-23","as discuss to manoj sir under working take some time","2020-07-23","2020-06-23 00:00:00.000000","3007"
"132","227","2020-06-16","Regret","0000-00-00","2020-06-16 00:00:00.000000","3053"
"133","231","2020-06-11","Their on requirement for dahej plant, undr follow up for negotiation","2020-07-11","2020-06-11 00:00:00.000000","3044"
"134","232","2020-06-30","Thye provide water soution in different industries, ","2020-07-30","2020-06-30 00:00:00.000000","3053"
"135","234","2020-06-23","Budgetory offer","2020-09-21","2020-06-23 00:00:00.000000","3007"
"136","235","2020-06-11","They provide piprline servces in oil and sector, they will finaliaze the order in August","2020-07-26","2020-06-11 00:00:00.000000","3048"
"137","237","2020-06-05","They are takeing rates from other vendor for make comperitive.","2020-06-25","2020-06-05 00:00:00.000000","3044"
"138","238","2020-06-10","small qty","0000-00-00","2020-06-10 00:00:00.000000","3039"
"139","239","2020-06-27","Budgetory offer submitted. It will take time","2020-08-11","2020-06-27 00:00:00.000000","3048"
"140","240","2020-09-03","Commercial offer submitted, Under follow-up","2020-09-23","2020-09-03 00:00:00.000000","3053"
"141","256","2020-06-22","Offer has submitted however due to lockdown the tender is extended.","2020-07-12","2020-06-22 00:00:00.000000","3053"
"142","262","2020-06-03","Submitted offer for PVDF Cable will get the order. ","2020-06-10","2020-06-03 00:00:00.000000","3033"
"143","263","2020-08-12","They have taken this cable from their non moved stock .","2020-09-06","2020-08-12 00:00:00.000000","3044"
"144","265","2020-06-05","It will take time.","2020-07-05","2020-06-05 00:00:00.000000","3044"
"145","266","2020-06-30","offre has been submitted, budgetroy enquiry, we are not there In make list, on two vender are there in cables.","2020-08-14","2020-06-30 00:00:00.000000","3044"
"146","267","2020-06-12","Due to small quantity , it is very difficult for reduce rate. ","2020-07-12","2020-06-12 00:00:00.000000","3033"
"147","269","2021-01-08","Budgetory offer .it will take time.","2021-02-07","2021-01-08 00:00:00.000000","3044"
"148","273","2020-06-27","Budgetory offer submitted, it will take time .Under followup","2020-08-01","2020-06-27 00:00:00.000000","3048"
"149","275","2020-06-22","Offer has been submitted however the tender is extended due to lockdown.","2020-07-22","2020-06-22 00:00:00.000000","3053"
"150","277","2020-08-12","They are considering us for the final negotiation.","2020-08-27","2020-08-12 00:00:00.000000","3044"
"151","280","2020-06-11","offer has been submitted, and ill take time for closinf the tender","2020-07-21","2020-06-11 00:00:00.000000","3044"
"152","281","2020-08-12","We got the order,We have match up with rates. ","2020-09-06","2020-08-12 00:00:00.000000","3044"
"153","283","2020-06-22","The offer was for tender and tender is extended due to lockdown in Chennai. Is under follow up.","2020-07-22","2020-06-22 00:00:00.000000","3053"
"154","287","2020-12-02","PO Received.","0000-00-00","2020-12-02 00:00:00.000000","3011"
"155","288","2020-06-22","The tender expired before he could participate,also our prices were high and he wanted to enquire futher for new projects. New enquiry shall be received","2020-07-22","2020-06-22 00:00:00.000000","3053"
"156","289","2020-06-11","offer has been submitted and very small quantity.","2020-07-21","2020-06-11 00:00:00.000000","3053"
"157","291","2020-06-16","as discuss to niddhi they have 2to 3times reminder & call but customer is not clera the technical calfifcation as on 15.06.20 so I will reget fot same","0000-00-00","2020-06-16 00:00:00.000000","3033"
"158","294","2020-09-24","E-Auction was conducted by Adani. (Rank-3)","2020-10-04","2020-09-24 00:00:00.000000","3011"
"159","295","2020-08-12","They are considering us for the final negotiation.","2020-08-27","2020-08-12 00:00:00.000000","3044"
"160","298","2020-08-12","We got purchase order with increase quantity of the cables.","2020-09-11","2020-08-12 00:00:00.000000","3044"
"161","300","2020-11-24","They are considering us for the final negotiation. If they get this project.","2020-12-24","2020-11-24 00:00:00.000000","3044"
"162","304","2020-06-27","Budgetory offer submitted, it will take time .Under followup","2020-08-26","2020-06-27 00:00:00.000000","3054"
"163","305","2020-06-11","offer has been submitted and they will let us know when the tender will be close.","2020-07-21","2020-06-11 00:00:00.000000","3053"
"164","306","2020-07-04","They are tarder having requirement for their client. Under follow up. ","2020-08-03","2020-07-04 00:00:00.000000","3048"
"165","308","2020-06-11","offer has been submitted","2020-07-06","2020-06-11 00:00:00.000000","3048"
"166","309","2020-08-05","Firm Requirements. Call back next week.","2020-08-25","2020-08-05 00:00:00.000000","3011"
"167","312","2020-06-22","Offer has been submitted. They will revert after technical clearance. Is under follow up.","2020-07-02","2020-06-22 00:00:00.000000","3053"
"168","313","2020-06-24","Tender has been extended due to lockdown. They will revert once they get any information.","2020-07-14","2020-06-24 00:00:00.000000","3053"
"169","314","2020-06-29","Yet to finalize. ","2020-07-19","2020-06-29 00:00:00.000000","3033"
"170","315","2020-06-29","Yet to finalize. ","2020-07-19","2020-06-29 00:00:00.000000","3033"
"171","317","2020-06-23","offer has been submited, they wil inform us about the tender opening","2020-08-02","2020-06-23 00:00:00.000000","3033"
"172","318","2020-06-23","Tender enquiry, offer has been submitted , will inform about tender opening","2020-08-12","2020-06-23 00:00:00.000000","3048"
"173","319","2020-09-24","Budgetory offer. It will take time.","2020-10-24","2020-09-24 00:00:00.000000","3011"
"174","321","2020-06-23","Budgetory offer","2020-09-21","2020-06-23 00:00:00.000000","3007"
"175","322","2020-06-23","offer has been submitted, will take time for finalization and under follow up","2020-07-23","2020-06-23 00:00:00.000000","3053"
"176","323","2020-06-23","Budgetory offer","0000-00-00","2020-06-23 00:00:00.000000","3007"
"177","324","2020-06-23","offer is firm but this is additional qty and earlier supply to other vendor","2020-07-08","2020-06-23 00:00:00.000000","3007"
"178","326","2020-09-24","Lost it on high rates by 7%.","2020-10-14","2020-09-24 00:00:00.000000","3011"
"179","327","2020-06-26","Offer submitted to them, need to submit the technical data sheet, they will review the same inform us for order closing. ","2020-07-06","2020-06-26 00:00:00.000000","3033"
"180","329","2020-09-24","Lost it on high rates and approval problem of Power cables.","2020-10-14","2020-09-24 00:00:00.000000","3011"
"181","332","2020-06-27","Commercial offer submitted .finalization process will take 10-15 days","2020-08-06","2020-06-27 00:00:00.000000","3048"
"182","334","2020-06-27","Budgetory offer submitted. It will take time","2020-08-11","2020-06-27 00:00:00.000000","3048"
"183","335","2020-06-24","Offer has been submitted and they found the prices very high. They finally went with Polycab.","2020-07-24","2020-06-24 00:00:00.000000","3053"
"184","336","2020-06-27","Offer submitted .Yet to finalize.","2020-08-01","2020-06-27 00:00:00.000000","3048"
"185","338","2020-06-27","Budgetory offer submitted. It will take time","2020-08-11","2020-06-27 00:00:00.000000","3048"
"186","339","2020-06-27","Budgetory offer submitted. It will take time","2020-08-11","2020-06-27 00:00:00.000000","3048"
"187","340","2020-06-23","offer has been submitted, will take time for finalization and under follow up","2020-07-13","2020-06-23 00:00:00.000000","3044"
"188","341","2020-08-21","offer submited  take some time they have auction done iby next month","2020-09-20","2020-08-21 00:00:00.000000","3000"
"189","342","2020-08-21","offer submited but they have not clear enquiry decision take some time","2020-09-20","2020-08-21 00:00:00.000000","3007"
"190","343","2020-08-21","offer submited but they have not clear enquiry decision take some time","2020-09-20","2020-08-21 00:00:00.000000","3007"
"191","344","2020-11-24","They are considering us for the final negotiation. If they get this project.","2020-12-24","2020-11-24 00:00:00.000000","3044"
"192","346","2020-07-09","We have offered discount. Still not Lowest one. ","2020-07-24","2020-07-09 00:00:00.000000","3033"
"193","348","2020-06-27","Budgetory offer submitted. It will take time","2020-08-11","2020-06-27 00:00:00.000000","3048"
"194","349","2020-08-12","Gemscab got this tender.","2020-09-11","2020-08-12 00:00:00.000000","3044"
"195","350","2020-10-02","They are considering us for the final negotiation. If they get this project.","2020-11-01","2020-10-02 00:00:00.000000","3044"
"196","354","2020-06-27","Offer submitted, finalization process will take time","2020-08-06","2020-06-27 00:00:00.000000","3048"
"197","356","0000-00-00","Bidding Stage. It take time.","0000-00-00","0000-00-00 00:00:00.000000","3011"
"198","358","2020-06-30","Thye are into sugar automatin, budgetory enquiry, offer has been sumitted , they will receivve LOA from their client in 2-3 weeks","2020-07-30","2020-06-30 00:00:00.000000","3053"
"199","362","2020-07-16","Budgetory Offer submitted . It will take time","2020-08-10","2020-07-16 00:00:00.000000","3048"
"200","363","2020-07-01","Offer ahs been submitted , they will let us know about the approval and under follow up for the same.","2020-07-31","2020-07-01 00:00:00.000000","3044"
"201","364","2020-06-26","Tender has been extended up to 10th of July. Keep following. ","2020-07-26","2020-06-26 00:00:00.000000","3033"
"202","365","2020-07-16","Tender offer Submitted, It will take time","2020-08-20","2020-07-16 00:00:00.000000","3048"
"203","366","2020-06-30","Offer has been submitted and the they have participated in the tender. Awaiting the date of tender.","2020-07-15","2020-06-30 00:00:00.000000","3053"
"204","367","2020-06-26","Offer is submitted to Spain office, they are having manufacturing unit in Thailand thus cables will be supplied to Thailand. We have quoted for Exxi mobile refinery project located in Singapore. ","2020-07-06","2020-06-26 00:00:00.000000","3044"
"205","368","2020-06-30","They provide EPC solutions in infra structure, transmission, offer has been submitted. Budgetory enquiry.","2020-08-14","2020-06-30 00:00:00.000000","3053"
"206","371","2020-11-24","After one month tender will open.","2020-12-24","2020-11-24 00:00:00.000000","3044"
"207","372","2020-06-30","We have submitted the offer and awaitng the date of the tender disclosure.","2020-07-15","2020-06-30 00:00:00.000000","3053"
"208","373","2020-06-30","Offer has been submitted, they will let us know when they will finalize the order, under follow up for the same","2020-07-25","2020-06-30 00:00:00.000000","3044"
"209","374","2020-09-24","Bidding Stage. It take time.","2020-10-24","2020-09-24 00:00:00.000000","3011"
"210","376","2020-06-24","all reday quot sr no 280","0000-00-00","2020-06-24 00:00:00.000000","3044"
"211","377","2020-08-12","They are considering us for the final negotiation.","2020-08-22","2020-08-12 00:00:00.000000","3044"
"212","378","2020-06-24","Offer has been submitted and they have quoted for the tender. It is under follow up.","2020-07-04","2020-06-24 00:00:00.000000","3053"
"213","382","2020-07-09","Qunaitity is to small, will wait for additional quantity. ","2020-07-24","2020-07-09 00:00:00.000000","3033"
"214","386","2020-06-29","We have quoted for the project, it is under negotiation. ","2020-07-04","2020-06-29 00:00:00.000000","3033"
"215","388","2020-06-30","they provide services like metrial handling systems, offer has been submitted, under follow up to get the approval.","2020-07-30","2020-06-30 00:00:00.000000","3048"
"216","389","2020-08-12","We have rceived P.O. for PGCIL project.","2020-09-11","2020-08-12 00:00:00.000000","3044"
"217","390","2020-08-14","WE ARE LOST WITH 21% DIFFRANCE WITH RAHUL CABLES & A P INDUSTRIS","0000-00-00","2020-08-14 00:00:00.000000","3050"
"218","393","2020-09-09","Under follow up.","2020-09-19","2020-09-09 00:00:00.000000","3033"
"219","394","2020-06-30","Thye provide epc services in transmission sector, offre has been sumbitted, under follow .","2020-07-30","2020-06-30 00:00:00.000000","3044"
"220","395","2020-09-24","Firm Requirements for Overseas Project.","2020-10-04","2020-09-24 00:00:00.000000","3011"
"221","396","2020-08-01","we have submitted the offer and are awaiting for their finalisation date.  It is under discussion.","2020-08-31","2020-08-01 00:00:00.000000","3053"
"222","397","2020-06-30","Offer has been sumitted, busgetroy enquiry, ","2020-08-14","2020-06-30 00:00:00.000000","3053"
"223","402","2020-08-18","We have apporached that our factory location is nearest to project site & will bear fright charges. Will discuss in next week. ","2020-08-25","2020-08-18 00:00:00.000000","3033"
"224","404","2020-07-04","Will get order today or within two days. ","2020-07-14","2020-07-04 00:00:00.000000","3033"
"225","406","2020-06-30","Zeeco India offers comprehensive combustion products, design and engineering capabilities, and aftermarket services to its customers in the refining, production, LNG, petrochemical, power, pharmaceutical, and biogas industries.","2020-07-25","2020-06-30 00:00:00.000000","3048"
"226","410","2020-07-16","This cable are not in their scope, Will be free issue by end user. ","0000-00-00","2020-07-16 00:00:00.000000","3033"
"227","411","2020-11-24","They are considering us for the final negotiation. If they get this project.","2020-12-24","2020-11-24 00:00:00.000000","3044"
"228","415","2020-08-07","Indent yet to finalize. ","2020-09-06","2020-08-07 00:00:00.000000","3033"
"229","418","2020-07-16","We discuss with worley services to get the approval also offered low price to them, But  name approval can not be done. ","2020-07-23","2020-07-16 00:00:00.000000","3033"
"230","420","2020-07-16","Budgetory Offer submitted . It will take time","2020-08-25","2020-07-16 00:00:00.000000","3048"
"231","422","2020-12-10","Lost it on high rates.","2020-12-20","2020-12-10 00:00:00.000000","3011"
"232","423","2020-07-16","Cables is arranged from site. ","2020-07-31","2020-07-16 00:00:00.000000","3033"
"233","424","2020-07-04","Techinical datasheet submitted for technical review.","2020-07-29","2020-07-04 00:00:00.000000","3044"
"234","425","2020-07-09","Presently we are L1, Need to submit doc, ","2020-07-19","2020-07-09 00:00:00.000000","3033"
"235","426","2020-07-04","Price comperative with netco.","2020-07-24","2020-07-04 00:00:00.000000","3044"
"236","428","2020-07-11","They do trnkey projects in trasmission sector, offer has been submitted, budgetory enquiry.","2020-08-25","2020-07-11 00:00:00.000000","3048"
"237","429","2020-07-11","Offer has been submitted and they have submitted their prices to the customer. Awaiting a response from their customer in Sudan. It is under follow up.","2020-07-31","2020-07-11 00:00:00.000000","3053"
"238","430","2020-07-11","they are oem of different of pumps, offer has been submitted, under follow up for order finalizaion.","2020-08-10","2020-07-11 00:00:00.000000","3044"
"239","433","2020-07-16","Netco is Lowest one,still trying to get order. ","2020-07-21","2020-07-16 00:00:00.000000","3048"
